"","drugs","rank.down","rank.up","score"
"691","DECITABINE:CARBOPLATIN (1:1 MOL/MOL)",239,688,64.9614576033637
"311","MST-312",326,604,65.1716888577435
"147","NELARABINE",548,383,65.2417659425368
"586","CIL70",354,579,65.3819201121233
"654","PURMORPHAMINE",373,560,65.3819201121233
"325","ISONICOTINOHYDROXAMIC ACID",648,287,65.5220742817099
"381","PHA-665752",620,317,65.6622284512964
"340","SOTRASTAURIN",351,589,65.8724597056762
"420","TIPIFARNIB-P2",308,635,66.0826909600561
"148","TEMSIROLIMUS",599,348,66.3629992992292
"145","BRD-K16130065",622,326,66.4330763840224
"378","REFAMETINIB",448,500,66.4330763840224
"704","BIBR-1532",295,653,66.4330763840224
"448","PHA-793887",383,566,66.5031534688157
"564","SPAUTIN-1",422,527,66.5031534688157
"266","TIPIFARNIB",443,509,66.7133847231955
"318","TACEDINALINE",700,252,66.7133847231955
"611","VNLG/124",400,553,66.7834618079888
"197","BRD9876",676,280,66.9936930623686
"459","BRD-K92856060",293,663,66.9936930623686
"374","BRD-K55473186",361,597,67.1338472319551
"633","CH-55",260,699,67.2039243167484
"48","SN-38",612,350,67.4141555711282
"66","CIMETIDINE",674,290,67.5543097407148
"218","AZ-3146",647,318,67.6243868255081
"333","KH-CB19",395,570,67.6243868255081
"373","GSK1059615",489,479,67.8346180798879
"657","LFM-A13",254,716,67.9747722494744
"179","UNC0638",459,512,68.0448493342677
"369","SKEPINONE-L",454,519,68.1850035038542
"73","BRD-K64610608",677,297,68.2550805886475
"628","ZEBULARINE",283,692,68.3251576734408
"302","SILMITASERTIB",493,483,68.3952347582341
"95","THZ-2-102-1",617,360,68.4653118430273
"92","SELUMETINIB:JQ-1 (4:1 MOL/MOL)",528,450,68.5353889278206
"721","AICA RIBONUCLEOTIDE",268,710,68.5353889278206
"34","VELIPARIB",333,647,68.6755430974071
"120","AUSTOCYSTIN D",672,310,68.8156972669937
"428","BRD-K19103580",282,702,68.9558514365802
"576","OXALIPLATIN",486,499,69.0259285213735
"77","VINCRISTINE",671,315,69.0960056061668
"387","CGP-082996",367,620,69.1660826909601
"342","COL-3",387,602,69.3062368605466
"443","TANDUTINIB",441,548,69.3062368605466
"702","BRD-K49290616",553,436,69.3062368605466
"125","CUCURBITACIN I",609,382,69.4463910301331
"49","BRD-A02303741",640,354,69.656622284513
"233","5-FLUOROURACIL",582,415,69.8668535388928
"331","BRD-K48477130",414,584,69.9369306236861
"359","ISTRADEFYLLINE",516,482,69.9369306236861
"488","NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL)",512,486,69.9369306236861
"223","CD-437",413,587,70.0770847932726
"375","VAF-347",509,496,70.427470217239
"305","PF-562271",466,540,70.4975473020322
"288","WZ8040",566,441,70.5676243868255
"297","STF-31",358,650,70.6377014716188
"154","BRD-K99584050",703,307,70.7778556412053
"323","OMACETAXINE MEPESUCCINATE",696,314,70.7778556412053
"67","SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)",605,407,70.9180098107919
"141","NAVITOCLAX:PLX-4032 (1:1 MOL/MOL)",649,363,70.9180098107919
"510","BOSUTINIB",483,529,70.9180098107919
"470","GSK690693",375,638,70.9880868955851
"108","ISPINESIB MESYLATE",650,365,71.1282410651717
"198","PALBOCICLIB",467,552,71.4085494043448
"327","CEDIRANIB",624,395,71.4085494043448
"52","BORTEZOMIB",665,355,71.4786264891381
"641","BRD-K02251932",401,621,71.6187806587246
"307","SITAGLIPTIN",613,413,71.8990889978977
"460","CIL55",328,707,72.5297827610371
"290","NVP-ADW742",603,437,72.8801681850035
"366","SZ4TA2",503,545,73.4407848633497
"708","REGORAFENIB",720,328,73.4407848633497
"399","VX-680",514,537,73.6510161177295
"103","SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL)",619,438,74.0714786264891
"346","METHYLSTAT",470,588,74.1415557112824
"166","LENVATINIB",484,577,74.3517869656622
"267","CICLOPIROX",662,399,74.3517869656622
"273","BRD-K66453893",663,398,74.3517869656622
"495","VX-702",434,630,74.562018220042
"271","TRAMETINIB",558,507,74.6320953048353
"308","PDMP",347,719,74.7021723896286
"171","CICLOSPORIN",350,722,75.1226348983882
"176","ERISMODEGIB",510,562,75.1226348983882
"60","BRD-K02492147",692,381,75.1927119831815
"27","OLIGOMYCIN A",718,357,75.332866152768
"201","ISOX:BORTEZOMIB (250:1 MOL/MOL)",578,497,75.332866152768
"10","ML029",626,452,75.5430974071479
"714","NECROSTATIN-7",688,392,75.6832515767344
"242","PANDACOSTAT",621,465,76.103714085494
"662","BRD-K24690302",372,717,76.3139453398739
"499","LINIFANIB",421,671,76.5241765942537
"350","NECROSULFONAMIDE",476,618,76.6643307638402
"632","CIL41",502,598,77.0847932725999
"38","SIROLIMUS",499,603,77.2249474421864
"648","CP724714",430,673,77.2950245269797
"263","NSC632839",630,480,77.7855641205326
"294","INDISULAM",651,459,77.7855641205326
"6","B02",641,470,77.8556412053259
"191","CAY10618",666,446,77.9257182901191
"219","PIK-93",598,517,78.135949544499
"514","HG-5-88-01",568,558,78.9067974772249
"590","VORAPAXAR",457,670,78.9768745620182
"86","ELCPK",654,475,79.1170287316048
"666","T0901317",425,704,79.1170287316048
"569","ISOLIQUIRITIGENIN",432,698,79.187105816398
"177","PLATIN",625,508,79.3973370707779
"116","PROCARBAZINE",689,445,79.4674141555711
"567","CCT-018159",547,592,79.8177995795375
"1","MYRICETIN",449,693,80.0280308339173
"158","BRD-K09587429",456,686,80.0280308339173
"546","DASATINIB",667,477,80.1681850035039
"195","CERULENIN",445,701,80.3083391730904
"360","MI-2",537,615,80.72880168185
"41","BRD-K41334119",633,521,80.8689558514366
"480","TGX-221",446,713,81.2193412754029
"78","LUMINESPIB",552,610,81.4295725297828
"544","BENDAMUSTINE",570,593,81.499649614576
"298","SCH-529074",579,585,81.5697266993693
"69","OMIPALISIB",707,462,81.9201121233357
"343","ABT-199",684,487,82.0602662929222
"540","FTI-277",581,599,82.6909600560617
"81","SELUMETINIB:TRETINOIN (2:1 MOL/MOL)",657,524,82.7610371408549
"700","ABT-737",526,657,82.9011913104415
"181","SELUMETINIB:MK-2206 (8:1 MOL/MOL)",527,665,83.5318850735809
"174","DARINAPARSIN",515,678,83.6019621583742
"117","RIGOSERTIB",588,609,83.8822704975473
"234","BRD-K04800985",587,612,84.0224246671338
"9","DEXAMETHASONE",592,614,84.5129642606868
"82","OSI-930",717,495,84.9334267694464
"319","MG-132",634,578,84.9334267694464
"547","THZ-2-49",505,711,85.2137351086195
"709","BRD-K29313308",681,538,85.4239663629993
"64","NEOPELTOLIDE",710,514,85.7743517869657
"36","HYPERFORIN",669,557,85.9145059565522
"551","XMD11-85H",615,622,86.6853538892782
"621","FUMONISIN B1",542,695,86.6853538892782
"8","ML083",554,690,87.1758934828311
"42","DOCETAXEL",694,551,87.2459705676244
"295","GDC-0879",595,662,88.0868955851437
"351","HBX-41108",661,607,88.8577435178697
"364","BRD-A86708339",706,572,89.5585143658024
"193","IOX2",627,659,90.1191310441486
"530","PRIMA-1",606,680,90.1191310441486
"114","CUDC-101",658,639,90.8899789768746
"126","KX2-391",631,667,90.9600560616678
"76","FULVESTRANT",642,660,91.2403644008409
"357","MLN2480",701,606,91.5907498248073
"492","UNC1215",679,629,91.6608269096006
"221","ETOMOXIR",602,715,92.29152067274
"63","ELESCLOMOL",683,641,92.7820602662929
"18","ML239",628,697,92.8521373510862
"354","TIVANTINIB",721,613,93.4828311142256
"65","SR-II-138A",705,632,93.6930623686055
"75","SELUMETINIB:DECITABINE (4:1 MOL/MOL)",637,708,94.2536790469516
"156","SORAFENIB",695,652,94.3938332165382
"68","GSK461364",722,705,100
